,School_Name,School_Level,Establishment_Date,Establishment_Type,Branch_Type,Address,city,gu,dong,Latitude,Longitude
839,숭인중학교,중학교,1975-06-01,공립,본교,서울특별시 동대문구 답십리동 463-1,서울특별시,동대문구,답십리동,37.57392046,127.0440889
840,서울신석초등학교,초등학교,1964-03-10,공립,본교,서울특별시 마포구 신수동 429-2,서울특별시,마포구,신수동,37.54453582,126.9377793
841,등원중학교,중학교,1995-05-04,공립,본교,서울특별시 강서구 등촌동 707-4,서울특별시,강서구,등촌동,37.55971763,126.8516806
842,모라초등학교,초등학교,1954-04-01,공립,본교,부산광역시 사상구 모라동 655-3,부산광역시,사상구,모라동,35.19004594,128.9864313
843,서울동의초등학교,초등학교,1987-10-26,공립,본교,서울특별시 광진구 구의동 4-5,서울특별시,광진구,구의동,37.55342244,127.0990473
844,서울남정초등학교,초등학교,1945-11-01,공립,본교,서울특별시 용산구 원효로2가 54-1,서울특별시,용산구,원효로2가,37.53567383,126.9648037
845,동국대학교사범대학부속여자중학교,중학교,1930-06-20,사립,본교,서울특별시 광진구 구의동 238-1,서울특별시,광진구,구의동,37.54192936,127.0869731
846,서울수서초등학교,초등학교,1992-07-15,공립,본교,서울특별시 강남구 수서동 709,서울특별시,강남구,수서동,37.49115148,127.1015496
847,장서초등학교,초등학교,1983-08-24,공립,본교,부산광역시 금정구 구서동 709-3,부산광역시,금정구,구서동,35.24792973,129.088499
848,명지중학교,중학교,1948-04-12,사립,본교,서울특별시 서대문구 홍은동 323-9,서울특별시,서대문구,홍은동,37.58491135,126.9270902
849,청담중학교,중학교,1984-04-27,공립,본교,서울특별시 강남구 청담동 143,서울특별시,강남구,청담동,37.52865979,127.0448101
850,상계제일중학교,중학교,1971-01-16,공립,본교,서울특별시 노원구 중계동 132,서울특별시,노원구,중계동,37.6610756,127.0780785
851,서울양진초등학교,초등학교,2005-05-06,공립,본교,서울특별시 광진구 광장동 414-1,서울특별시,광진구,광장동,37.54457517,127.0983249
852,망미중학교,중학교,1982-03-05,공립,본교,부산광역시 수영구 망미동 952-2,부산광역시,수영구,망미동,35.17566242,129.0985872
853,서울신은초등학교,초등학교,2011-10-28,공립,본교,서울특별시 양천구 신정동 1319,서울특별시,양천구,신정동,37.51391281,126.8321696
854,서울석계초등학교,초등학교,2005-06-03,공립,본교,서울특별시 성북구 석관동 27-3,서울특별시,성북구,석관동,37.60881368,127.0697321
855,서울진관초등학교,초등학교,2008-09-01,공립,본교,서울특별시 은평구 진관동 8,서울특별시,은평구,진관동,37.64543483,126.9292124
856,삼정중학교,중학교,1994-05-04,공립,본교,서울특별시 강서구 방화동 856,서울특별시,강서구,방화동,37.5814869,126.8106015
857,해운대여자중학교,중학교,1969-02-25,사립,본교,부산광역시 해운대구 우동 산104-4,부산광역시,해운대구,우동,35.16805143,129.1535665
858,서울숭례초등학교,초등학교,1945-11-01,공립,본교,서울특별시 성북구 종암동 22-1,서울특별시,성북구,종암동,37.59452119,127.0352972
859,해동고등학교,고등학교,1948-04-08,사립,본교,부산광역시 사하구 괴정동 613,부산광역시,사하구,괴정동,35.09285454,128.9904231
860,영일고등학교,고등학교,1975-05-15,사립,본교,서울특별시 강서구 등촌동 525,서울특별시,강서구,등촌동,37.54728726,126.8620589
861,서울구일초등학교,초등학교,1987-10-22,공립,본교,서울특별시 구로구 구로동 685-221,서울특별시,구로구,구로동,37.49319187,126.8734727
862,광진중학교,중학교,1979-10-10,공립,본교,서울특별시 광진구 자양동 693,서울특별시,광진구,자양동,37.53221959,127.0901621
863,반석초등학교,초등학교,1998-03-01,공립,본교,부산광역시 해운대구 반여동 757-1,부산광역시,해운대구,반여동,35.21140292,129.1249825
864,모산초등학교,초등학교,1992-02-29,공립,본교,부산광역시 사상구 모라동 550,부산광역시,사상구,모라동,35.18571631,128.9952076
865,삼선중학교,중학교,1960-05-03,공립,본교,서울특별시 성북구 동소문동4가 278-174,서울특별시,성북구,동소문동4가,37.59174763,127.0078716
866,한세사이버보안고등학교,고등학교,1994-10-05,사립,본교,서울특별시 마포구 아현동 771,서울특별시,마포구,아현동,37.55178983,126.9520321
867,서울오류남초등학교,초등학교,1982-06-01,공립,본교,서울특별시 구로구 오류동 191-1,서울특별시,구로구,오류동,37.48968652,126.8391127
868,가람중학교,중학교,1953-04-06,공립,본교,부산광역시 북구 구포동 1020-1,부산광역시,북구,구포동,35.20431722,128.9988799
869,부산진여자중학교,중학교,1953-05-26,공립,본교,부산광역시 부산진구 전포동 342-25,부산광역시,부산진구,전포동,35.15445462,129.0694206
870,해동초등학교,초등학교,1980-03-27,공립,본교,부산광역시 해운대구 우동 350,부산광역시,해운대구,우동,35.17030489,129.1554467
871,동신초등학교,초등학교,1939-03-30,공립,본교,부산광역시 서구 동대신동3가 315,부산광역시,서구,동대신동3가,35.11386049,129.0175904
872,혜성여자고등학교,고등학교,1982-10-10,사립,본교,서울특별시 노원구 하계동 산16-47,서울특별시,노원구,하계동,37.64055021,127.0736197
873,방곡초등학교,초등학교,2016-03-01,공립,본교,부산광역시 기장군 정관읍 방곡리 412,부산광역시,기장군,정관읍,35.32292968,129.1867088
